a,неопределенныйартикль
admit,допускать
admittance,впуск/доступa-ce
admitted,Признанный(допущенный)
adopt,принимать/присваивать
adopted,Принятый
adore,обожать
adorn,украшать
adrift,потечению/поволеволн
ads,реклама
adult,взрослый
adults,взрослые(отadult)
advance,продвижениевперед/продвигать
advanced,передовой
advancing,Продвижение-ing
advantage,преимущество/выгода
advantages,Преимущества
adventure,рисковать/отваживаться
adventurer,искательприключений/авантюрист
adventurous,отважный/предприимчивый(неundertaking)
adversary,противник
adversity,бедствие/несчастье
advertise,помещатьобъявление/рекламировать
advertisement,объявление/реклама
advice,cовет
advise,советовать
advised,Рекомендованный
advocate,отстаивать/защищать
aerial,воздушный/антенна
aeroplane,самолет
afar,далеко/вдали
affair,дело/занятие
affairs,делишки!
affect,влиять/трогать/вредить
affected,пораженный
affection,привязанность/любовь
affectionate,любящий/нежный
affectionately,Нежно
affections,Привязанности
affirmative,утвердительный
afford,позволитьсебе
afforded,Предоставляемый*f-
affray,пугать
afore,перед
afraid,испуганный
afresh,снова/опять
after,после
afternoon,времяпослеполудня
afterward,Позже
afterwards,впоследствии/позже
again,снова
against,против
age,век/возраст
aged,старый/ввозрасте
agency,агентство
agent,деятель/исполнитель
aggregate,совокупность
aggregated,Соединенный
aggregation,Скопление
agitated,Взволнованный*g-(неthrilled)
agitation,агитация
agony,мучение/сильнаяболь
agree,соглашаться
agreeable,приятный/милый
agreed,согласился(отagree)
agreement,согласие/соглашение
agricultural,сельскохозяйственный
agriculture,сельскоехозяйство
aha,Ага
ahead,вперед
aid,помощь
aileen,Эйлин
ailing,больной-ing
aim,целиться/цель
air,воздушный/авиационный/проветривать
airborne,авиационный
airliner,лайнер
airport,аэропорт
ajar,приоткрытый
alarm,тревога/(вс)тревожить(alarm)
alas,Увы
albert,Альберт
album,альбом
alec,Алек
alert,бдительный/проворный
alexis,Алексис
alfred,Альфред
alias,Псевдоним
aliases,Псевдонимы
alibi,Алиби
alibis,Алиби
alight,выходить/спускаться
alignment,выравнивание/линия
alike,похожий
alive,живой
all,все/весь
allegiance,преданность/верность
allen,Аллен
alley,аллея/переулок
allied,союзный/родственный
allocate,предназначать
allocation,распределение/назначение
allow,разрешать/разрешить
allowance,дозволение/допущение(allowance)
allowing,Разрешение-ing
allows,Позволяет
alloy,примесь/сплав
alluded,Ссылался
ally,союзник/соединять
almond,миндаль/миндалина
almost,почти/едване(a-)
aloft,наверху/наверх
alone,один/одинокий
along,вдоль
alongside,рядом
aloud,громко/вслух
alphabet,алфавит/азбука
already,уже
also,тоже/также
alter,изменять
alteration,изменение/перемена
altered,Измененный(неchanged)
alternate,переменный
alternative,альтернатива/выбор
although,хотя
altitude,высота(неhighness)
altogether,всего/вобщем
always,всегда
am,(я)есть(отbe)
amateur,любитель
amazed,изумлённый/поражённый(неwonder)!
amazement,удивление/изумление
amazing,Удивительный-ing
amber,янтарь/янтарный
ambiguous,двусмысленный
ambition,честолюбие/желание
ambitious,честолюбивый
ambulance,полевойгоспиталь/каретаскоройпомощи
amends,возмещение
amiable,любезный/милый
amid,между/посреди/среди!
ammonia,аммиак
ammunition,боеприпасы
among,среди(неmidst)
amongst,Среди
amorous,влюбленный/любовный
amount,количество/сумма/составлять(сумму)
ample,обширный/просторный
amuse,забавлять/развлекать
amusement,забава/развлечение
amusing,забавный/интересный
amy,Эми
an,неопределенныйартикль(передгласнымзвуком)
ana,сборникизречений
analogous,Аналогичный
analyse,анализировать/разбирать
analysis,анализ
ancestor,предок
anchor,якорь
ancient,древний
and,и/а
anew,снова/заново
angel,ангел
angela,Анжела
angeles,Анхелес
anger,гнев/злость
angle,угол/точказрения
angles,Углы
angrily,сердито!
angry,сердитый
anguish,страдание
animal,животное
animated,оживленный/анимированный
ankle,щиколотка/лодыжка
anna,Анна
anne,Энн
annihilation,уничтожение
anniversary,годовщина
announce,объявлять
announced,объявлял/объявленный(отannounce)
announcement,объявление/сообщение
annoy,досаждать/надоедать
annoyance,Раздражение
annual,годовой/ежегодный/ежегодник(неyearly)
annually,ежегодно
anomaly,аномалия
anonymous,анонимный
another,ещеодин/другой
answer,ответ/отвечать
answered,ответил(отanswer)
ant,муравей
antarctic,антарктический
anthony,Энтони
anticipate,предвидеть
anticipated,Ожидаемый
antidote,противоядие
antique,древний(неancient)
antiquity,древность
antony,Энтони
anvil,наковальня
anxiety,тревога/беспокойство
anxious,беспокойный*n-
anxiously,тревожно!
anyhow,вовсякомслучае
anyone,любой/всякий(утвпредлож)/кто-нибудь/никто(вотрицпредлож)!
anyway,вочтобытонистало
anywhere,где-нибудь!
apart,встороне/отдельно(неaside)
apartment,квартира
ape,обезьяна(человекообразная)
apes,Обезьяны
apex,верхушка/вершина(неpeak)
apiece,заштуку/поштучно
apologies,извинения(отapology)
apologize,извиняться
apology,извинение
app,Приложение
appalling,ужасный/плачевный-ing
apparatus,аппарат
apparel,одевать/наряжать
apparent,видимый/очевидный
apparently,явно/очевидно
appeal,апелляция/апеллировать(юр.)/обращаться
appear,появляться
appearance,появление/внешность
appeared,появился(отappear)
appears,Появляется
appendix,приложение/аппендикс(анат.)
appetite,аппетит/охота/желание
applause,аплодисменты
apple,яблоко
apples,яблоки(отapple)
applet,Апплет
application,заявление/применение
applications,Заявления(применения)
applied,прикладной
apply,обращаться/применять
appointed,Назначенный
appointment,условленнаявстреча*pp*...
appreciate,оценивать
approach,приближаться/подступ
approbation,одобрение(неapprovement)
appropriate,подходящий/соответствующий
approval,одобрение
approve,одобрять
approximate,приблизительный
approximately,приблизительно
apricot,абрикос
April,апрель
apron,фартук
apt,подходящий/уместный/склонный
arable,пахотный
arbitrary,произвольный
arbour,беседка/дерево/ось
arc,дуга(мат.)
arcadia,Аркадия
arch,арка/дуга
archaic,устарелый/архаический
arched,Арочный
archie,Арчи
archipelago,Архипелаг
architect,архитектор
architecture,архитектура
arctic,полярный/арктический
ardent,пылкий
ardour,жар/пыл/рвение
arduous,тяжелый/напряженный
are,есть(отbe)
area,площадь/район
argue,спорить
argument,спор
arguments,Аргументы(споры)
arid,сухой/засушливый
arise,возникать/появляться
arithmetic,арифметика
arm,рука
armament,вооружение
armed,вооруженный
armies,Армии
armour,броня
arms,оружие
army,армия
arose,возник/появился!
around,вокруг/по
arouse,будить/пробуждать
aroused,разбуженный!
arrange,устраивать/договариваться
arrangement,договоренность
arrangements,Меры(неmeasurements)
array,массив/множество/наряжать/украшать
arrest,арестовывать/арест
arrested,Арестованный
arrival,прибытие
arrive,приезжать
arrived,приехал/прибыл(отarrive)
arriving,прибывающий(-ing)
arrow,стрела
arson,поджог
art,искусство
artful,хитрый/ловкий
article,статья/предмет/изделие
articles,предметы(отarticle)
artificial,искусственный
artillery,артиллерия
artist,художник
artistic,художественный
arts,Искусства
as,как/так/втовремякак
asa,Аса
ascent,восхождение/подъемa-
ascertain,установить/удостовериться
ascertained,Установленный
ash,ясень
ashamed,пристыженный!
ashes,Пепел
ashore,наберег
asia,Азия
aside,всторону
ask,просить/спрашивать
asked,просил/требовал(отask)
asking,спрашивающий/просящий
asks,спрашивает(отask)
asleep,спящий(неsleepy)
aspect,взгляд/точказрения
ass,осел(библ.)
assassination,убийство
assault,нападать/нападение
assemble,созывать
assembled,Собранный
assembly,собрание/ассамблея
asserted,Утвержденный(неattested)
asset,имущество
assign,назначать
assigned,Назначенный
assignment,назначение
assist,помочь/помогать
assistance,помощь
assistant,помощник
assisted,Помогал
associate,соединять/присоединять
association,ассоциация/соединение
assortment,выбор/ассортимент
assume,приниматьнасебя
assumed,Принятый(неadopted)
assumption,предположение
assurance,заверение/уверенность
assure,уверять/обеспечивать
assured,уверенный/застрахованный!
asterisk,звездочка
astonished,удивленный!
astonishing,Удивительный-ing
astonishment,удивление/изумление
astronomy,астрономия
at,в/у
ate,ел/съел(отeat)
athlete,спортсмен/атлет
athletics,атлетика
athwart,через/вопреки(неthrough)
atlas,атлас
atmosphere,атмосфера
atmospheric,атмосферный
atom,атом
attach,придавать
attached,Приложенный(неembedded)
attachment,привязанность/прикрепление
attack,нападение/наступать
attacked,Атакованный
attacks,Нападения
attempt,пробовать/пытаться/попытка
attempting,Попытка-ing
attempts,Попытки
attend,посещать/обслуживать
attendance,присутствие/аудитория
attendant,служитель/слуга
attendants,Дежурные
attended,обслуженный/обслужил(отattend)
attending,Посещение(сопровождение)-ing
attention,внимание
attentions,Внимание
attentive,внимательный/заботливый
attest,удостоверять
attic,чердак
attire,украшение/наряд
attitude,позиция/отношение/поза
attorney,адвокат/поверенный(неadvocate)
attract,привлекать
attraction,привлекательность/аттракцион
attractive,привлекательный
attribute,приписывать
attributed,Приписанный
auction,аукцион
audacity,отвага/нахальство
audible,слышный/слышимый
audience,публика
auditorium,зрительныйзал
August,август
aunt,тетя
authentic,подлинный
author,автор
authoritative,авторитетный
authorities,Власти
authority,власть/полномочие/управление
authorize,санкционировать
authors,Авторы
auto,автомобиль
autobiography,автобиография
autograph,Автограф
automatic,автоматический
automatically,автоматически
automobile,автомобиль
autumn,осень
auxiliary,вспомогательный/дополнительный
available,доступный
avalanche,снежныйобвал/лавина
ave,прощание
avenge,(ото)мстить
avenue,проспект
average,средний
aversion,отвращение
avoid,избегать/избежать
await,ждать
awake,бодрствующий
awakened,Пробужденный
aware,сознающий
away,прочь
awe,(благоговейный)страх
awestruck,пораженный
awful,ужасный
awfully,ужасно/очень(разг.)/крайне
awhile,некотороевремя
awkward,неуклюжий
awoke,будил*w-!
axis,ось
ay,Да
aye,Утвердительныйответ/положительныйответ(неyes)
bab,Бэб
babble,бормотание/болтовняb-
baby,ребенок
back,спина/назад
backed,Поддержанный
background,фон/заднийплан
backs,Задниечастиb-
backup,Резервный*a-
backward,назад/обратно/наоборот
backwards,Назад
bacon,бекон
bad,плохой
bade,Предлагал
badge,знак/символ/эмблема
badger,барсук/травить
badly,сильно/плохо
baffle,озадачивать/мешать
bag,сумка
bagful,мешокb-
baggage,багажb-
bags,сумки/багаж(отbag)
bail,поручительство
bait,приманка
baker,пекарь/булочник
bakery,пекарня
balance,равновесие
balanced,уравновешенный
balcony,балкон
bald,лысый/оголенный
ball,мяч
ballast,балласт/опыт/убеждения
ballet,балет
balloon,воздушныйшар
balloons,Воздушныешары
balmy,душистый/нежный/целебный
bamboo,бамбук
ban,запрещать
banana,банан
bananas,бананы(отbanana)
band,лента/оркестр/ансамбль(музыкальный)
bandage,бинт/повязка/перевязывать/бинтовать
bands,ансамбли(отband)
bandy,перебрасываться/хоккей/клюшка
bang,ударять/хлопать(дверьюит.п.)
banged,ударенный!
banisters,перила(лестницы)
bank,банк
banner,знамя
banquet,банкет
bar,бар
barbara,Барбара
barbed,колючий/ядовитый
bare,голый/бедный/простой
barefooted,босой
barely,только/едва(b-)
bargain,сделка
barge,баржа
bark,корадерева
barley,ячмень
barn,амбар
barnabas,Барнабас
barnacle,Моллюск
baron,Барон
barrel,баррель
barren,бесплодный/неплодородный
barrier,барьер/преграда
barrow,носилки
bars,Бруски(бары)
barton,имение/поместье/усадьба(неestate)!
base,основа
baseball,бейсбол
based,Основанный
basement,основание
basic,основнойb-
basically,восновном
basin,бассейнb-
basis,основа/основание
basket,корзина
bass,бас/басовый
bat,бить
batch,выпечка/партия/группа
bates,Убавляет
bath,ванна
bathe,купаться
bathing,купание/купальный
bathroom,ваннаякомната
battery,аккумулятор
battle,бой/сражение
bay,бухта/залив
be,быть
beach,пляж
beacon,сигнальныйогонь/маяк
beagle,Гончая
beak,клюв
beaker,кубок/чаша(неrummer)
beam,сиять/излучать(свет)
beamed,Сиял
beaming,Сияющий(отсловаbeam)
beams,Лучи
bean,боб
beans,фасоль
bear,медведь/спекулянт
bearable,терпимый/сносныйb-
beard,борода
bearer,носитель/податель/предъявитель
bearing,Отношение(поведение)-ing
bears,Медведи
beast,зверь/животное
beastly,противный(разг.),отсловаЗВЕРЬ!!!
beasts,звери!
beat,ударить/бить
beaten,битый
beating,поражениеb-
beau,кавалер/поклонник
beautiful,красивый
beautifully,красиво/прекрасно
beauty,красота/косметический
became,становился/стал(отbecome)
because,потомучто
beck,кивок/приветствие
become,становиться
becomes,становится(отbecome)
becoming,подобающий/приличествующий/соответственный/идущий(клицу)(неeligible/suitable)-ing
bed,постель
bedding,спальныепринадлежности(bedding)
bedroom,спальня
beds,Кровати
bedside,постель
bee,пчела
beech,бук
beef,говядина
beehive,улей
been,быть(отbe)
beer,пиво
bees,Пчелы
beetle,трамбовать/дробитькамни
beetroot,краснаясвекла
before,перед/дотогокак
beforehand,заранее
beg,просить/умолять
began,начинал/начал(отbegin)
beggar,нищий
begin,начинать(ся)
beginner,новичок(неnewcomer)
beginning,начало
begins,начинается(отbegin)
begun,Начатый
behalf,Защита
behave,вестисебя
behaved,Велсебя
behaviour,поведение
beheld,Созерцал
behind,позади
behold,Созерцать
being,будучи(отbe)
beings,Существа
belfry,колокольня
belief,вера/доверие
believe,верить
believed,верил/полагал(отbelieve)
believes,Верит
believing,Вера-ing
bell,звонок(b-)
bella,Белла
bellamy,Беллами
bellow,мычание/греметь/громыхать(неrattle)
belly,живот/аппетит
belong,принадлежать
belonged,принадлежащий!
belongings,вещи/пожитки
beloved,любимый
below,ниже/внизу
belt,пояс/ремень
ben,Бен
bench,скамейка
bend,гнуться/изгибаться
bending,Изгибb-
beneath,под/ниже/внизу
benefit,благо/польза
bennet,Беннет
bent,склонность/наклонность
berenice,Беренис
berries,ягоды(отberry)
berth,койка/спальноеместо
bertram,Бертрам
beset,окружать
beside,рядом/около
besides,кроме/крометого
best,наилучший
bestowed,Подаренный
bet,держатьпари/пари
beth,Бет
betray,предавать
betrayed,Преданный(отсловапредательство)
better,лучше
betty,Бетти
between,между
beverley,Беверлей
bewail,оплакивать/скорбеть
beware,осторожно*e-
bewildered,пораженный/изумленныйb-
beyond,далеко/вдали/нарасстоянии/вне/сверх
Bible,библия
bicycle,велосипед
bicyclelist,велосипедист
bid,Предложение
bidding,понижениецены-ing
big,большой
bigger,Больший
bike,велосипед
bikes,Велосипеды
bill,счет/законопроект
billion,биллион/миллиард(амер.)
billy,Билли
bin,бункер!
binary,Набориздвухпредметов
bind,связывать(неlink)
binding,переплет-ing
bingo,Лото
biology,биология
birch,береза/розга
bird,птица
birth,рождение
birthday,деньрождения
biscuit,сухоепеченье
bishop,епископ/слон(шахм.)
bit,кусочек/немного
bite,кусаться
biting,острый/резкийb-ing
bits,куски!
bitter,горький/мучительный
bitterly,горько/сильно
blab,болтун/болтать(неотсловаchat)
black,черный
blackbird,черныйдрозд
blacken,чернить/чернеть
blackened,Почерневший
bladders,Пузыри
blade,лезвие
blades,Лезвия
blake,Блак
blame,считатьвиноватым/вина/упрек/порицание(b-)
blank,пустой/чистыйb-
blanket,одеяло
blast,взрыв/взрывать/разрушать
blaze,пламя/пылать/гореть(неflame)
blazing,Сверкание-ing
bleach,белить(ткань)
bleeding,Кровотечение
blend,смешивать/смесь
bless,благословлять
blessed,благословлённый!
blessing,благословение-ing
blew,дул!
blind,слепой
blink,мерцание/отблеск/блеснуть/моргатьb-
blinked,Мигал
bliss,блаженство/счастье
blizzard,метель/пурга
blob,капля/комочек(неdrop)
blobs,Капли(неdrops)
block,блок/квартал
blockade,блокада
blocked,Блокированный
blocks,кварталы(отblock)
blond,белокурый
blonde,блондин
blood,кровь
bloody,кровавый
bloom,цветение
blossom,цветок(надеревьях/кустах)/расцветать
blot,клякса/пятно/промокать
blouse,блуза
blow,дуть
blown,Сдутый
blue,синий
blunt,притуплять
blush,(по)краснеть;краскастыда/смущенияb-
board,садитьсянапароход/самолет;доска
boarding,посадка(самолёта)-ing
boast,хвастовство/хвастать
boat,лодка/пароход
boats,лодки!
bodies,Органы(тела)
bodily,лично/сам/собственнойперсоной(неmyself)
body,тело
bog,трясина
boil,кипятить/кипеть
boiled,вареный/кипяченый
boiler,котел
boisterous,неистовый/шумный
bold,смелый(неdare)
boldly,Смело
bolt,молния
bomb,бомба/бомбить
bondage,рабство/зависимость(неslavery)
bone,кость
bones,кости!
bonfire,костер
bonnet,капор/дамскаяшляпа
bonus,премия
book,книга/покупать(билет)
bookcase,книжныйшкаф
booking,продажабилетов-ing
booklet,брошюра/буклет
books,книги(отbook)
bookshelf,книжнаяполка
boost,повышение/повышать
boot,ботинок/сапог
booth,кабинка
boots,ботинки/сапоги(отboot)
booty,награбленноедобро/добыча
border,граница
bore,скука
boring,скучный
born,рожденный
borne,ограниченный/сузкимкругозором/узколобый/закостенелый
borrow,братьвдолг
borrowed,бралвдолг/взятыйвдолг(отborrow)
bosom,грудь(неchest)
boss,начальник
both,оба
bother,беспокойство/хлопоты;источникбеспокойства
bottle,бутылка
bottles,бутылки(отbottle)
bottom,дно/донышко
bough,ветвь/сук
bought,купил/купленный(отbuy)
boulevard,бульвар
bounce,отскакивать
bound,непременный/обязательный
boundary,граница*o-
boundless,безграничный
bounds,граница/ограничение(отbound)
bout,черед/круг
bow,кланяться/сгибаться
bowed,Поклонился
bowl,кубок/чаша
box,ящик/коробка/ложа(театр.)
boxes,ложи(отbox)
boxing,бокс
boy,мальчик/юноша
brace,связывать/скреплять(неclamp)
braces,подтяжки
bracket,скобка/подпорка/заключатьвскобки
bradley,Брадлей
brain,мозг
brake,тормоз
brakes,тормоза(отbrake)
branch,ветвь/отрасль
branches,ветки!
brand,головня/клеймо/фабричнаямарка/сорт/клеймить
brandy,коньяк/бренди
brass,установить
brave,храбрый/смелый
bravely,смело
bravery,храбрость/смелость*r-
brawl,уличныйскандал
breach,брешь/пробиватьбрешь
bread,хлеб
breadth,ширина/полотнище
break,ломать
breakfast,завтрак
breast,грудь
breath,дыхание
breathe,дышать
breathing,дыхание
breathless,запыхавшийся
bred,Разводимый
breeches,брюки/бриджи(неtrousers)
breed,порода
breeder,производитель
breeding,разведение
breeds,Породы
breeze,легкийветер
brew,затевать/надвигаться
brewing,затевающий/надвигающийся(отbrew)
brick,кирпич
bricks,кубики(детские)
bride,невеста
bridge,мост
bridle,узда/повод/взнуздывать
brief,короткий/сводка/резюме
briefcase,портфель
briefly,кратко/сжато
brigade,бригада
bright,ясный
brightly,Ярко
brilliance,блеск/великолепие/яркость(неbrightness)
brilliant,блестящий/брильянт
brim,край/поля(шляпы)
bring,приносить/приводить
brings,Приносит
brisk,живой/проворныйb-
Britain,Британия
British,британский
brittle,хрупкий/ломкий(неfragile)
broad,широкий
broadcast,передачапорадио
broadcasting,радиовещание
broadly,широко
broke,(с)ломал/сломанный(отbreak)
broken,разбитый/сломанный/нарушенный/ломаный(оязыке)
bronze,бронзовый
brooch,брошь
brood,высиживать(цыплят)/выводок
brook,ручей
broom,метла/мести
brother,брат
brought,принес/принесенный(отbring)
brow,бровь
brown,коричневый
brows,Брови
bruise,ушибать/синяк/ушиб
bruises,Ушибы
brush,щетка/чиститьщеткой
brushed,Чистил(неcleaned)
brutal,грубый/жестокий
brutally,грубо/жестоко
brute,зверь/скотина(неbeast)
bubble,пузырь
bucket,ведро
buckwheat,гречиха
bud,почка/бутон/даватьпочки/пускатьростки
budge,шевелиться
buds,почка/расцветать!
buffalo,буйвол
buffer,Буфер
bug,клоп/насекомое/жук(амер.)
bugs,Ошибки(дефекты)
build,строить
builder,строитель
building,здание
builds,Строит
built,строил/построенный(отbuild)
bulb,луковица/электрическаялампочка
bulk,груз/величина
bulky,громоздкий
bull,бык
bullet,пуля
bully,запугивать(неscare)
bum,бездельник/бродяга
bump,удар/толчок/шишка/ударять(ся)/стукаться**m*
bun,булочка
bunch,связка/пучок
bundle,узел/пакет
bungalow,(одноэтажная)дача/бунгало
buoy,буй/бакен
burden,груз/бремя
bureau,бюро/контора
burglary,кражасовзломом
burial,похороны
buried,спрятанный/похороненный!
burlap,холст/мешковина(неcanvas)
burly,крепкий!
burn,гореть/жечь/сжигать
burst,заливаться/разражаться
bury,хоронить/прятать
bus,автобус
bush,куст
bushes,кусты!
busily,Деловито
business,дело/бизнес/деловой
businessmen,бизнесмены(отbusinessman)
bust,бюст
bustle,суетиться/суматоха/суета
busts,Бюсты
busy,занятый
but,но
butcher,мясник
butler,Дворецкий
butter,масло
button,кнопка/пуговица
buttons,Кнопки
buy,покупать/купить
buyer,покупатель
buzz,жужжать/гудеть/жужжание/гул
buzzer,(фабричный)гудок
by,по/при/путем
bye,пока(припрощании)
byte,Байт
bytes,Байты
byword,поговорка/олицетворение(неdictum)
cab,наемныйэкипаж/извозчик/такси
cabbage,капуста
cabin,каюта
cabinet,кабинет(неparlour)
cable,кабельный
cache,Тайник
cadence,ритм/интонация
caesar,Каесар
cafe,кафе
cage,клетка/кабина
cages,Клетки
cake,торт
cakes,пироги!
calamity,стихийноебедствие/большоенесчастье
calculate,рассчитывать/вычислять
calculated,Расчетный
caleb,Калеб
calendar,календарь
calf,слоненок/теленок/молодойкит
call,звонить/называть(call)
called,звонил/названный(отcall)
calling,звонящий(отcall)
calm,успокаивать
calmly,тихо/спокойно!
cambridge,Кембридж
came,пришел(отcome)
camera,фотоаппарат
camp,лагерь
campaign,компания/проводитькампанию
can,уметь/мочь
cancel,отменить/сократить
candidate,кандидат
candle,свеча
candling,Миражирование-ing
cane,трость/палка
canes,Тростники(трости)
canned,консервированный
cannon,пушка/орудиеc-
cannot,неуметь(отрицательнаяформаглаголаcan)
canoe,челн/байдарка
canteen,столовая
canvas,холст/парус
canyon,Каньон
cap,шапка
capable,способный
capacious,просторный/вместительный/объемистый
capacity,емкость/способность
cape,мыс
capital,столица
capitalist,капиталист/капиталистический
captain,капитан
captive,пленный
captivity,Захват
capture,захват/поймать
captured,Захваченный
car,машина
caravan,фургон
carbon,углерод
carbonate,Карбонат
card,карточка
cardboard,картон
cards,карточки(отcard)
care,заботиться/переживать
career,профессия/карьера
careers,профессии(отcareer)
careful,осторожный
carefully,осторожно/внимательно
careless,беззаботный
cares,заботится/переживает(отcare)
cargo,груз
caricature,карикатура
carla,Карла
carlos,Карлос
carpenter,плотник
carpet,ковер/устилать
carriage,вагон
carrier,носильщик/транспортноесредство
carrot,морковь
carry,нести/носить/возить
carrying,перевозка
cart,телега/повозка
carter,возчик;ломовойизвозчик!
carton,коробка
cartoon,мультфильм
carve,вырезать/отрезать
carved,вырезанный(издерева/изкамня)!
case,случай/состояние
cash,деньги
casks,Бочки
cast,бросать/ронять/менять
castle,замок(нежелезный/акаменный)
casual,случайный(неrandom)
cat,кошка
catch,уловить/понять/получитьнагоняй
catching,Ловля
cathedral,собор
catherine,Кэтрин
cats,Коты
cattle,(рогатый)скот
caught,ловил!
cauldron,Котел
cause,дело/причина
causing,Порождение-ing
caution,осторожность
cautious,осторожный
cautiously,осторожно!
cave,пещера
cavern,Пещера
cavity,впадина/полость
cease,прекращать/останавливать
ceased,Прекратил
ceiling,потолок
celebrate,праздновать
celebrated,праздновал(отcelebrate)
celebration,празднование
celebrity,известность/знаменитость
cell,камера/ячейка
cellar,подвал/винныйпогреб
cells,Ячейки
cement,цемент/основа
cemetery,кладбище
cent,цент
center,центр
central,центральный
centre,центр-re
centuries,Столетия
century,столетие/век
cereals,хлебныезлаки/зерновые
ceremony,церемония
certain,определенный/некоторый/некийc-
certainly,конечно
certainty,уверенность
certificate,справка/аттестат
cessation,прекращение(неinterrupt)
chain,цепь
chair,стул
chairman,председатель
chaise,Фаэтон
chalk,мел
chalked,Рисовавшиймелом
challenge,вызывать/вызов
chamber,палата
chambers,Палаты*h-
champagne,шампанское
champion,чемпион
championship,чемпионат/званиечемпиона
chance,случай/шанс
chances,Возможности
change,мелкиеденьги/сдача/менять/пересаживаться
changed,поменял/изменил(отchange)
changes,меняется(отchange)
changing,Изменение(замена)
channel,канал
chap,парень(разг.)/малыйc-
chapter,глава(книги)
chapters,Главы
char,Случайнаяработа
character,характер
characteristic,особенность
charge,плата/стоимость/взиматьплату
charges,издержки/расходы(отcharge)
charity,милосердие
charles,Чарльз
charley,Чарли
charlotte,Шарлотта
charm,очарование
charming,очаровательный/прелестный
charms,Обаяния
chase,охотиться/преследовать/погоня/охота
chasing,уклоняющийся(отchase)
chat,беседа/болтовня(неblab)
chatter,болтать/болтовня
chatterbox,болтунья
chauffeur,шофер
cheap,дешевый
cheaply,дешево/легко
cheat,обманывать/надувать/обманщик/плутc-
check,проверять/регистрировать
checking,Проверка
cheek,щека
cheeky,развязный
cheer,настроение
cheerful,жизнерадостный/веселыйс-
cheerfully,бодро!
cheers,даздравствует(приветственноевосклицание)
cheese,сыр
chemical,химический
chemist,химик/аптекарь
chemistry,химия
cheque,банковскийчек
cherish,лелеять
cherries,вишни(отcherry)
cherry,вишня
chess,шахматы
chest,грудь
chestnut,каштан
chevy,охота/погоня/гнаться(неchase)
chew,жевать
chicken,цыпленок/кура
chief,шеф/начальник
chiefly,главнымобразом
child,ребенок
childhood,детство
childish,детский/ребяческий
children,дети
chill,холод/простуда
chilly,холодный/сухой/чопорный
chimney,трубаc-
chin,подбородок
china,фарфор
chip,обломок/осколок
chisel,резец/ваять/высекать
chivalrous,рыцарский
chocolate,шоколад
choice,выбор(c-/неchoose)
choked,Забитый
choose,выбиратьc-
chorus,хор
chose,выбирал/выбрал(отchoose)
chosen,выбранный(отchoose)
chris,Крис
Christian,христианский/христианин
Christmas,Рождество
